Day_Of_Week,Click_Hour,Click_Minute,Current_Cumulative_Sum,Target_Final_Daily_Sum
2,14,15,153303.62,298894.98
2,14,30,156654.51,298894.98
2,14,45,159696.9,298894.98
2,15,0,162628.17,298894.98
2,15,15,165399.5,298894.98
2,15,30,168489.4,298894.98
2,15,45,171747.11,298894.98
2,16,0,174853.86,298894.98
2,16,15,177828.27,298894.98
2,16,30,181019.94,298894.98
2,16,45,184011.15,298894.98
2,17,0,187485.34,298894.98
2,17,15,195379.47,298894.98
2,17,30,202885.77,298894.98
2,17,45,211300.76,298894.98
2,18,0,218940.89,298894.98
2,18,15,226295.74,298894.98
2,18,30,233504.33,298894.98
2,18,45,240661.97,298894.98
2,19,0,248438.14,298894.98
2,19,15,251456.3,298894.98
2,19,30,254452.62,298894.98
2,19,45,257563.64,298894.98
2,20,0,260545.92,298894.98
2,20,15,263717.17,298894.98
2,20,30,266705.02,298894.98
2,20,45,269524.97,298894.98
2,21,0,272457.86,298894.98
2,21,15,275554.37,298894.98
2,21,30,278827.81,298894.98
2,21,45,281688.79,298894.98
2,22,0,284634.45,298894.98
2,22,15,287330.67,298894.98
2,22,30,289938.07,298894.98
2,22,45,293093.69,298894.98
2,23,0,295865.13,298894.98
2,23,15,296655.05,298894.98
2,23,30,297366.0,298894.98
2,23,45,298139.7,298894.98
3,0,0,45.11,298311.72
3,0,15,662.84,298311.72
3,0,30,1344.55,298311.72
3,0,45,2041.19,298311.72
3,1,0,2749.06,298311.72
3,1,15,3441.35,298311.72
3,1,30,4234.29,298311.72
3,1,45,5019.83,298311.72
3,2,0,5674.1,298311.72
3,2,15,6374.75,298311.72
3,2,30,7089.3,298311.72
3,2,45,7846.88,298311.72
3,3,0,8631.48,298311.72
3,3,15,9517.3,298311.72
3,3,30,10307.65,298311.72
3,3,45,11031.76,298311.72
3,4,0,11673.35,298311.72
3,4,15,12460.52,298311.72
3,4,30,13241.08,298311.72
3,4,45,13969.72,298311.72
3,5,0,14657.57,298311.72
3,5,15,15477.84,298311.72
3,5,30,16287.79,298311.72
3,5,45,16979.55,298311.72
3,6,0,17791.32,298311.72
3,6,15,21025.73,298311.72
3,6,30,23593.56,298311.72
3,6,45,26652.78,298311.72
3,7,0,29546.47,298311.72
3,7,15,32636.74,298311.72
3,7,30,35381.43,298311.72
3,7,45,38674.97,298311.72
3,8,0,41699.58,298311.72
3,8,15,48946.6,298311.72
3,8,30,56098.59,298311.72
3,8,45,63156.38,298311.72
3,9,0,70602.39,298311.72
3,9,15,78179.7,298311.72
3,9,30,85867.3,298311.72
3,9,45,94654.87,298311.72
3,10,0,102156.77,298311.72
3,10,15,105194.98,298311.72
3,10,30,108113.29,298311.72
3,10,45,110869.96,298311.72
3,11,0,114031.43,298311.72
3,11,15,117115.21,298311.72
3,11,30,120448.54,298311.72
3,11,45,123200.46,298311.72
3,12,0,126506.4,298311.72
3,12,15,129270.27,298311.72
3,12,30,132360.95,298311.72
3,12,45,135780.33,298311.72
3,13,0,138998.21,298311.72
3,13,15,142027.85,298311.72
3,13,30,145116.51,298311.72
3,13,45,148224.69,298311.72
3,14,0,151291.87,298311.72
3,14,15,154283.85,298311.72
3,14,30,157088.03,298311.72
3,14,45,160212.51,298311.72
3,15,0,163319.86,298311.72
3,15,15,166481.47,298311.72
3,15,30,169592.9,298311.72
3,15,45,172659.02,298311.72
3,16,0,175717.69,298311.72
3,16,15,178670.73,298311.72
3,16,30,181652.06,298311.72
3,16,45,184778.29,298311.72
3,17,0,187914.21,298311.72
3,17,15,195467.1,298311.72
3,17,30,203452.47,298311.72
3,17,45,211713.13,298311.72
3,18,0,219262.08,298311.72
3,18,15,226263.98,298311.72
3,18,30,232873.83,298311.72
3,18,45,240334.29,298311.72
3,19,0,247974.72,298311.72
3,19,15,250815.99,298311.72
3,19,30,254095.3,298311.72
3,19,45,256680.1,298311.72
3,20,0,259625.67,298311.72
3,20,15,262704.65,298311.72
3,20,30,265761.06,298311.72
3,20,45,268913.3,298311.72
3,21,0,271915.58,298311.72
3,21,15,274786.62,298311.72
3,21,30,277884.17,298311.72
3,21,45,280803.22,298311.72
3,22,0,283816.35,298311.72
3,22,15,286685.17,298311.72
3,22,30,289921.05,298311.72
3,22,45,292694.81,298311.72
3,23,0,295509.46,298311.72
3,23,15,296130.63,298311.72
3,23,30,296815.97,298311.72
3,23,45,297689.45,298311.72
4,0,0,46.91,295336.26
4,0,15,707.19,295336.26
4,0,30,1513.78,295336.26
4,0,45,2123.33,295336.26
4,1,0,2880.33,295336.26
4,1,15,3506.6,295336.26
4,1,30,4328.53,295336.26
4,1,45,5099.43,295336.26
4,2,0,5757.91,295336.26
4,2,15,6434.32,295336.26
4,2,30,7219.16,295336.26
4,2,45,7985.01,295336.26
4,3,0,8591.96,295336.26
4,3,15,9302.85,295336.26
4,3,30,10016.42,295336.26
4,3,45,10855.87,295336.26
4,4,0,11611.56,295336.26
4,4,15,12445.4,295336.26
4,4,30,13142.27,295336.26
4,4,45,13781.26,295336.26
4,5,0,14437.5,295336.26
4,5,15,15105.79,295336.26
4,5,30,15830.12,295336.26
4,5,45,16571.39,295336.26
4,6,0,17449.01,295336.26
4,6,15,20657.98,295336.26
4,6,30,23735.35,295336.26
4,6,45,26522.89,295336.26
4,7,0,29627.37,295336.26
4,7,15,32567.48,295336.26
4,7,30,35766.4,295336.26
4,7,45,38767.55,295336.26
4,8,0,41913.2,295336.26
4,8,15,48762.63,295336.26
4,8,30,56663.78,295336.26
4,8,45,63986.89,295336.26
4,9,0,71480.08,295336.26
4,9,15,79025.2,295336.26
4,9,30,86334.69,295336.26
4,9,45,93432.56,295336.26
4,10,0,100811.92,295336.26
4,10,15,103641.23,295336.26
4,10,30,106754.01,295336.26
4,10,45,109824.87,295336.26
4,11,0,112654.43,295336.26
4,11,15,115694.09,295336.26
4,11,30,118714.53,295336.26
4,11,45,121861.75,295336.26
4,12,0,124689.12,295336.26
4,12,15,127613.9,295336.26
4,12,30,130593.02,295336.26
4,12,45,133481.24,295336.26
4,13,0,136787.16,295336.26
4,13,15,139556.69,295336.26
4,13,30,142688.39,295336.26
4,13,45,145836.41,295336.26
4,14,0,148791.67,295336.26
4,14,15,151720.88,295336.26
4,14,30,154563.06,295336.26
4,14,45,157794.44,295336.26
4,15,0,161014.08,295336.26
4,15,15,164438.16,295336.26
4,15,30,167496.07,295336.26
4,15,45,170489.05,295336.26
4,16,0,173332.21,295336.26
4,16,15,176170.21,295336.26
4,16,30,179046.97,295336.26
4,16,45,182026.73,295336.26
4,17,0,185173.85,295336.26
4,17,15,192807.94,295336.26
4,17,30,199791.17,295336.26
4,17,45,206995.19,295336.26
4,18,0,214530.12,295336.26
4,18,15,222208.31,295336.26
4,18,30,230156.57,295336.26
4,18,45,237335.86,295336.26
4,19,0,244750.59,295336.26
4,19,15,247674.74,295336.26
4,19,30,250693.15,295336.26
4,19,45,254069.71,295336.26
4,20,0,257132.79,295336.26
4,20,15,259944.78,295336.26
4,20,30,263110.27,295336.26
4,20,45,266223.18,295336.26
4,21,0,269300.03,295336.26
4,21,15,272041.83,295336.26
4,21,30,275154.78,295336.26
4,21,45,277898.88,295336.26
4,22,0,281068.87,295336.26
4,22,15,283632.21,295336.26
4,22,30,286457.74,295336.26
4,22,45,289443.86,295336.26
4,23,0,292337.95,295336.26
4,23,15,293005.42,295336.26
4,23,30,293648.34,295336.26
4,23,45,294491.07,295336.26
5,0,0,57.66,209426.57
5,0,15,588.04,209426.57
5,0,30,1029.75,209426.57
5,0,45,1506.15,209426.57
5,1,0,2028.06,209426.57
5,1,15,2589.78,209426.57
5,1,30,3047.88,209426.57
5,1,45,3650.42,209426.57
5,2,0,4126.65,209426.57
5,2,15,4640.83,209426.57
5,2,30,5113.04,209426.57
5,2,45,5618.34,209426.57
5,3,0,6162.98,209426.57
5,3,15,6585.98,209426.57
5,3,30,7127.39,209426.57
5,3,45,7725.84,209426.57
5,4,0,8302.1,209426.57
5,4,15,8989.63,209426.57
5,4,30,9518.72,209426.57
5,4,45,10020.87,209426.57
5,5,0,10655.85,209426.57
5,5,15,11188.91,209426.57
5,5,30,11707.1,209426.57
5,5,45,12195.96,209426.57
5,6,0,12877.79,209426.57
5,6,15,14840.67,209426.57
5,6,30,16893.46,209426.57
5,6,45,19229.4,209426.57
5,7,0,21393.96,209426.57
5,7,15,23377.74,209426.57
5,7,30,25419.3,209426.57
5,7,45,27577.84,209426.57
5,8,0,29975.98,209426.57
5,8,15,35047.99,209426.57
5,8,30,40232.69,209426.57
5,8,45,46017.58,209426.57
5,9,0,51247.54,209426.57
5,9,15,57196.24,209426.57
5,9,30,62254.1,209426.57
5,9,45,67847.85,209426.57
5,10,0,72712.05,209426.57
5,10,15,74807.42,209426.57
5,10,30,77088.64,209426.57
5,10,45,79223.19,209426.57
5,11,0,81019.16,209426.57
5,11,15,83110.14,209426.57
5,11,30,85283.0,209426.57
5,11,45,87377.16,209426.57
5,12,0,89544.84,209426.57
5,12,15,91665.69,209426.57
5,12,30,93877.41,209426.57
5,12,45,95854.62,209426.57
5,13,0,97794.79,209426.57
5,13,15,100023.5,209426.57
5,13,30,102131.84,209426.57
5,13,45,104188.51,209426.57
5,14,0,106271.64,209426.57
5,14,15,108218.52,209426.57
5,14,30,110101.73,209426.57
5,14,45,112342.56,209426.57
5,15,0,114682.98,209426.57
5,15,15,117037.77,209426.57
5,15,30,119135.84,209426.57
5,15,45,121159.17,209426.57
5,16,0,123312.42,209426.57
5,16,15,125496.61,209426.57
5,16,30,127683.54,209426.57
5,16,45,129782.45,209426.57
5,17,0,131990.56,209426.57
5,17,15,137355.27,209426.57
5,17,30,143022.56,209426.57
5,17,45,148332.57,209426.57
5,18,0,153624.66,209426.57
5,18,15,158928.08,209426.57
5,18,30,163955.29,209426.57
5,18,45,168831.7,209426.57
5,19,0,173424.33,209426.57
5,19,15,175611.26,209426.57
5,19,30,177692.66,209426.57
5,19,45,179810.64,209426.57
5,20,0,181834.07,209426.57
5,20,15,184224.62,209426.57
5,20,30,186236.58,209426.57
5,20,45,188359.99,209426.57
5,21,0,190577.7,209426.57
5,21,15,192491.96,209426.57
5,21,30,194562.13,209426.57
5,21,45,196705.56,209426.57
5,22,0,198833.88,209426.57
5,22,15,200985.04,209426.57
5,22,30,203192.97,209426.57
5,22,45,205326.28,209426.57
5,23,0,207447.6,209426.57
5,23,15,207876.3,209426.57
5,23,30,208389.98,209426.57
5,23,45,208939.56,209426.57
6,0,0,36.75,210159.88
6,0,15,478.93,210159.88
6,0,30,1032.48,210159.88
6,0,45,1487.64,210159.88
6,1,0,2043.48,210159.88
6,1,15,2567.6,210159.88
6,1,30,3136.82,210159.88
6,1,45,3649.78,210159.88
6,2,0,4245.68,210159.88
6,2,15,4754.49,210159.88
6,2,30,5356.21,210159.88
6,2,45,5931.7,210159.88
6,3,0,6449.79,210159.88
6,3,15,7013.43,210159.88
6,3,30,7532.15,210159.88
6,3,45,8049.12,210159.88
6,4,0,8508.23,210159.88
6,4,15,9095.4,210159.88
6,4,30,9615.14,210159.88
6,4,45,10217.92,210159.88
6,5,0,10739.0,210159.88
6,5,15,11199.76,210159.88
6,5,30,11688.31,210159.88
6,5,45,12137.13,210159.88
6,6,0,12812.92,210159.88
6,6,15,15180.43,210159.88
6,6,30,17206.35,210159.88
6,6,45,19483.34,210159.88
6,7,0,21554.62,210159.88
6,7,15,23381.14,210159.88
6,7,30,25474.78,210159.88
6,7,45,27678.15,210159.88
6,8,0,29950.51,210159.88
6,8,15,35071.01,210159.88
6,8,30,40767.68,210159.88
6,8,45,46146.44,210159.88
6,9,0,51436.21,210159.88
6,9,15,57060.59,210159.88
6,9,30,62308.31,210159.88
6,9,45,67187.93,210159.88
6,10,0,72051.45,210159.88
6,10,15,74085.57,210159.88
6,10,30,76320.35,210159.88
6,10,45,78308.48,210159.88
6,11,0,80438.89,210159.88
6,11,15,82665.17,210159.88
6,11,30,84886.16,210159.88
6,11,45,87047.23,210159.88
6,12,0,89248.1,210159.88
6,12,15,91541.0,210159.88
6,12,30,94093.25,210159.88
6,12,45,96399.57,210159.88
6,13,0,98365.58,210159.88
6,13,15,100598.53,210159.88
6,13,30,102718.51,210159.88
6,13,45,104672.92,210159.88
6,14,0,106787.82,210159.88
6,14,15,108901.34,210159.88
6,14,30,111079.57,210159.88
6,14,45,113180.62,210159.88
6,15,0,115399.26,210159.88
6,15,15,117445.93,210159.88
6,15,30,119469.09,210159.88
6,15,45,121547.49,210159.88
6,16,0,123675.77,210159.88
6,16,15,125731.45,210159.88
6,16,30,127714.41,210159.88
6,16,45,129904.97,210159.88
6,17,0,132148.81,210159.88
6,17,15,137182.99,210159.88
6,17,30,142337.85,210159.88
6,17,45,147695.81,210159.88
6,18,0,153053.43,210159.88
6,18,15,158001.18,210159.88
6,18,30,163061.37,210159.88
6,18,45,168638.34,210159.88
6,19,0,174112.05,210159.88
6,19,15,176087.91,210159.88
6,19,30,178135.89,210159.88
6,19,45,180185.82,210159.88
6,20,0,182159.31,210159.88
6,20,15,184215.26,210159.88
6,20,30,186108.35,210159.88
6,20,45,188286.36,210159.88
6,21,0,190507.0,210159.88
6,21,15,193005.69,210159.88
6,21,30,195009.6,210159.88
6,21,45,197121.28,210159.88
6,22,0,199306.28,210159.88
6,22,15,201829.75,210159.88
6,22,30,203779.69,210159.88
6,22,45,206052.07,210159.88
6,23,0,208069.23,210159.88
6,23,15,208604.14,210159.88
6,23,30,209136.14,210159.88
6,23,45,209700.66,210159.88
0,0,0,33.71,298237.51
0,0,15,1018.93,298237.51
0,0,30,1789.13,298237.51
0,0,45,2701.73,298237.51
0,1,0,3416.85,298237.51
0,1,15,4083.85,298237.51
0,1,30,4898.43,298237.51
0,1,45,5681.72,298237.51
0,2,0,6583.44,298237.51
0,2,15,7173.56,298237.51
0,2,30,7922.66,298237.51
0,2,45,8690.9,298237.51
0,3,0,9358.12,298237.51
0,3,15,10173.71,298237.51
0,3,30,11009.09,298237.51
0,3,45,11731.58,298237.51
0,4,0,12450.03,298237.51
0,4,15,13218.49,298237.51
0,4,30,13953.12,298237.51
0,4,45,14759.23,298237.51
0,5,0,15455.02,298237.51
0,5,15,16157.25,298237.51
0,5,30,16908.04,298237.51
0,5,45,17758.91,298237.51
0,6,0,18691.39,298237.51
0,6,15,21809.76,298237.51
0,6,30,24737.17,298237.51
0,6,45,27545.86,298237.51
0,7,0,31068.89,298237.51
0,7,15,34276.59,298237.51
0,7,30,37197.39,298237.51
0,7,45,40434.95,298237.51
0,8,0,43725.91,298237.51
0,8,15,51763.66,298237.51
0,8,30,59564.3,298237.51
0,8,45,66600.35,298237.51
0,9,0,74007.47,298237.51
0,9,15,81032.53,298237.51
0,9,30,88386.24,298237.51
0,9,45,96187.49,298237.51
0,10,0,103035.37,298237.51
0,10,15,106100.57,298237.51
0,10,30,108967.55,298237.51
0,10,45,112119.28,298237.51
0,11,0,115177.78,298237.51
0,11,15,118362.14,298237.51
0,11,30,121482.02,298237.51
0,11,45,124441.82,298237.51
0,12,0,127254.52,298237.51
0,12,15,130621.64,298237.51
0,12,30,133520.96,298237.51
0,12,45,136588.98,298237.51
0,13,0,139306.52,298237.51
0,13,15,142253.9,298237.51
0,13,30,145617.74,298237.51
0,13,45,148648.34,298237.51
0,14,0,151493.94,298237.51
0,14,15,154739.61,298237.51
0,14,30,157875.9,298237.51
0,14,45,161078.67,298237.51
0,15,0,164047.12,298237.51
0,15,15,166837.95,298237.51
0,15,30,169457.9,298237.51
0,15,45,172767.95,298237.51
0,16,0,175891.75,298237.51
0,16,15,179012.18,298237.51
0,16,30,181983.9,298237.51
0,16,45,185038.34,298237.51
0,17,0,188184.95,298237.51
0,17,15,195427.97,298237.51
0,17,30,202483.58,298237.51
0,17,45,209597.44,298237.51
0,18,0,216975.06,298237.51
0,18,15,224808.48,298237.51
0,18,30,232181.55,298237.51
0,18,45,239432.12,298237.51
0,19,0,246752.03,298237.51
0,19,15,249822.46,298237.51
0,19,30,252943.93,298237.51
0,19,45,256014.98,298237.51
0,20,0,259160.14,298237.51
0,20,15,261834.48,298237.51
0,20,30,265003.17,298237.51
0,20,45,268292.81,298237.51
0,21,0,271232.43,298237.51
0,21,15,274045.08,298237.51
0,21,30,277058.12,298237.51
0,21,45,280067.37,298237.51
0,22,0,283128.18,298237.51
0,22,15,286123.37,298237.51
0,22,30,289238.12,298237.51
0,22,45,292412.96,298237.51
0,23,0,295367.93,298237.51
0,23,15,296204.1,298237.51
0,23,30,296768.05,298237.51
0,23,45,297461.59,298237.51
1,0,0,52.51,299675.36
1,0,15,872.71,299675.36
1,0,30,1629.63,299675.36
1,0,45,2451.54,299675.36
1,1,0,3198.88,299675.36
1,1,15,3861.33,299675.36
1,1,30,4597.61,299675.36
1,1,45,5384.54,299675.36
1,2,0,6146.91,299675.36
1,2,15,6845.39,299675.36
1,2,30,7589.55,299675.36
1,2,45,8353.68,299675.36
1,3,0,9042.62,299675.36
1,3,15,9804.58,299675.36
1,3,30,10525.02,299675.36
1,3,45,11219.2,299675.36
1,4,0,12190.13,299675.36
1,4,15,13082.54,299675.36
1,4,30,13903.01,299675.36
1,4,45,14606.29,299675.36
1,5,0,15399.89,299675.36
1,5,15,16086.74,299675.36
1,5,30,16777.79,299675.36
1,5,45,17642.81,299675.36
1,6,0,18455.8,299675.36
1,6,15,21533.96,299675.36
1,6,30,24686.15,299675.36
1,6,45,27711.7,299675.36
1,7,0,31133.27,299675.36
1,7,15,34276.4,299675.36
1,7,30,37377.64,299675.36
1,7,45,40571.41,299675.36
1,8,0,44207.59,299675.36
1,8,15,51832.18,299675.36
1,8,30,58661.26,299675.36
1,8,45,66456.55,299675.36
1,9,0,73791.18,299675.36
1,9,15,80470.28,299675.36
1,9,30,88105.13,299675.36
1,9,45,95894.11,299675.36
1,10,0,102658.94,299675.36
1,10,15,105686.55,299675.36
1,10,30,108914.72,299675.36
1,10,45,111963.08,299675.36
1,11,0,114795.93,299675.36
1,11,15,117727.89,299675.36
1,11,30,120401.01,299675.36
1,11,45,123801.24,299675.36
1,12,0,126525.98,299675.36
1,12,15,129363.96,299675.36
1,12,30,132510.34,299675.36
1,12,45,135343.38,299675.36
1,13,0,138480.94,299675.36
1,13,15,141479.1,299675.36
1,13,30,144582.54,299675.36
1,13,45,147485.28,299675.36
1,14,0,150566.17,299675.36
1,14,15,153617.57,299675.36
1,14,30,156947.2,299675.36
1,14,45,160029.48,299675.36
1,15,0,162708.93,299675.36
1,15,15,165624.07,299675.36
1,15,30,168543.12,299675.36
1,15,45,171633.25,299675.36
1,16,0,174787.53,299675.36
1,16,15,177957.03,299675.36
1,16,30,181030.71,299675.36
1,16,45,184094.85,299675.36
1,17,0,187306.17,299675.36
1,17,15,195356.51,299675.36
1,17,30,203075.98,299675.36
1,17,45,211226.48,299675.36
1,18,0,219207.98,299675.36
1,18,15,226837.2,299675.36
1,18,30,234982.64,299675.36
1,18,45,242425.02,299675.36
1,19,0,249070.48,299675.36
1,19,15,251874.35,299675.36
1,19,30,254829.33,299675.36
1,19,45,257993.64,299675.36
1,20,0,260466.68,299675.36
1,20,15,263499.68,299675.36
1,20,30,266385.14,299675.36
1,20,45,269488.06,299675.36
1,21,0,272537.5,299675.36
1,21,15,275495.62,299675.36
1,21,30,278437.48,299675.36
1,21,45,281433.16,299675.36
1,22,0,284689.53,299675.36
1,22,15,287529.57,299675.36
1,22,30,290558.7,299675.36
1,22,45,293496.75,299675.36
1,23,0,296612.71,299675.36
1,23,15,297419.09,299675.36
1,23,30,298026.2,299675.36
1,23,45,298788.87,299675.36
2,0,0,38.21,297540.68
2,0,15,794.94,297540.68
2,0,30,1514.5,297540.68
2,0,45,2324.84,297540.68
2,1,0,3104.74,297540.68
